codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0804,Financiamentos rurais  (ex-financiamentos rurais e agroindustriais),Industrialização,PJ,Com destinação específica,PJ - Rural e agroindustrial,,,base,
0901,Financiamentos imobiliários,Financiamento habitacional - SFH,PF,Sem destinação específica,PF - Habitacional,,,base,
0901,Financiamentos imobiliários,Financiamento habitacional - SFH,PF,Com destinação específica,PF - Habitacional,,,base,
0901,Financiamentos imobiliários,Financiamento habitacional - SFH,PJ,Sem destinação específica,PJ - Investimento,,,base,
0901,Financiamentos imobiliários,Financiamento habitacional - SFH,PJ,Com destinação específica,PJ - Habitacional,,,base,
0902,Financiamentos imobiliários,Financiamento habitacional  exceto SFH,PF,Sem destinação específica,PF - Habitacional,,,base,
0902,Financiamentos imobiliários,Financiamento habitacional  exceto SFH,PF,Com destinação específica,PF - Habitacional,,,base,
0902,Financiamentos imobiliários,Financiamento habitacional  exceto SFH,PJ,Sem destinação específica,PJ - Investimento,,,base,
0902,Financiamentos imobiliários,Financiamento habitacional  exceto SFH,PJ,Com destinação específica,PJ - Habitacional,,,base,
0903,Financiamentos imobiliários,"Financiamento imobiliário - empreendim, exceto habitac.",PF,Sem destinação específica,PF - Outros créditos,,,base,
0903,Financiamentos imobiliários,"Financiamento imobiliário - empreendim, exceto habitac.",PF,Com destinação específica,PF - Outros créditos,,,base,
0903,Financiamentos imobiliários,"Financiamento imobiliário - empreendim, exceto habitac.",PJ,Sem destinação específica,PJ - Investimento,,,base,
0903,Financiamentos imobiliários,"Financiamento imobiliário - empreendim, exceto habitac.",PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0990,Financiamentos imobiliários,Financiamento de projeto,PF,Sem destinação específica,PF - Outros créditos,,,base,
0990,Financiamentos imobiliários,Financiamento de projeto,PF,Com destinação específica,PF - Outros créditos,,,base,
0990,Financiamentos imobiliários,Financiamento de projeto,PJ,Sem destinação específica,PJ - Investimento,,,base,
0990,Financiamentos imobiliários,Financiamento de projeto,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
1001,Financiamentos de títulos e valores mobiliários,Financiamento de TVM,PF,Sem destinação específica,PF - Outros créditos,,,base,
1001,Financiamentos de títulos e valores mobiliários,Financiamento de TVM,PF,Com destinação específica,PF - Outros créditos,,,base,
1001,Financiamentos de títulos e valores mobiliários,Financiamento de TVM,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
1001,Financiamentos de títulos e valores mobiliários,Financiamento de TVM,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
1101,Financiamentos de infraestrutura e desenvolvimento,Financiamento de infraestrutura e desenvolvimento,PF,Sem destinação específica,PF - Outros créditos,,,base,
1101,Financiamentos de infraestrutura e desenvolvimento,Financiamento de infraestrutura e desenvolvimento,PF,Com destinação específica,PF - Outros créditos,,,base,
1101,Financiamentos de infraestrutura e desenvolvimento,Financiamento de infraestrutura e desenvolvimento,PJ,Sem destinação específica,PJ - Investimento,,,base,
1101,Financiamentos de infraestrutura e desenvolvimento,Financiamento de infraestrutura e desenvolvimento,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
